surface_m2,rooms,floor,max_floor,price,neighborhood,year_built,elevator,construction_material,latitude,longitude,metro_proximity,stb_proximity
47.0,2,7,12,148500,-1,2020,1,1,44.479042,26.054163,0.938937829,0.200937561
53.35,2,1,6,99900,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
94.0,4,3,9,207777,30,1979,1,1,44.427376,26.043285,0.445049828,0.219245729
80.92,4,1,10,265000,79,2010,1,0,44.42113,26.17264,0.900817288,0.388572687
66.0,3,3,10,110000,58,1978,0,0,44.437595,26.171896,0.298689646,0.073701554
57.6,2,3,4,99809,3,2025,1,0,44.378445,26.14511,0.784401097,0.5993047
68.0,2,5,7,98700,48,2025,1,2,44.36867,26.114674,2.044620972,0.07007092
78.0,3,2,8,175000,48,2022,1,2,44.368683,26.124727,1.478714765,0.165399336
95.0,3,0,4,167000,48,2011,0,1,44.371292,26.116428,1.765818364,0.109434815
200.0,5,5,5,1188001,47,2006,1,0,44.48517,26.088049,1.177155045,0.353056959
35.0,1,0,6,62800,48,2025,1,2,44.363434,26.115099,2.351469806,0.162552393
35.0,1,0,7,64990,48,2026,1,2,44.36055,26.1495,1.039677628,0.086448376
35.0,1,5,6,63500,48,2025,1,2,44.363613,26.115444,2.319849511,0.151144502
55.97,2,2,4,95454,76,2023,1,0,44.40224,26.177395,0.901924975,0.848926498
48.8,2,1,7,99800,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
61.25,2,1,4,85900,76,2026,1,1,44.411736,26.206163,0.703027088,0.638931305
59.4,2,1,4,100826,76,2023,1,0,44.40224,26.177395,0.901924975,0.848926498
63.19,2,1,3,88466,76,2026,1,0,44.412956,26.1961,0.601403083,0.644817175
44.85,2,1,6,99600,48,2026,1,0,44.373177,26.127972,0.924289914,0.204810271
61.8,2,1,4,92900,76,2026,1,1,44.411736,26.206163,0.703027088,0.638931305
30.0,1,9,9,58000,30,1976,0,-1,44.419468,26.039272,0.499939049,0.239714233
77.0,3,5,8,209990,66,1988,1,-1,44.417988,26.063093,1.03463363,0.277273312
64.0,2,2,7,81000,52,2026,0,-1,44.440807,25.977642,1.519793147,0.598173569
30.0,1,4,4,75000,52,1982,0,0,44.428295,26.04159,0.540877372,0.081569716
84.95,3,1,4,229000,76,2025,1,0,44.416115,26.19374,0.931938411,0.497892087
77.3,3,1,3,130200,76,2026,1,0,44.41628,26.202694,1.169303056,0.968065135
47.04,2,1,3,76264,76,2026,1,0,44.416664,26.20295,1.21587451,0.966865861
60.76,2,1,3,89102,76,2026,1,0,44.416664,26.20295,1.21587451,0.966865861
66.0,2,3,3,68900,48,2018,0,-1,44.36949,26.115118,1.962769531,0.167830774
38.61,1,1,7,61775,76,2026,1,4,44.414886,26.201597,0.992770031,0.900700397
65.15,2,2,4,97900,76,2026,1,1,44.411736,26.206163,0.703027088,0.638931305
58.6,2,0,3,88000,76,2026,1,0,44.417812,26.198832,1.181350027,0.61725024
60.0,2,1,5,88347,70,2026,1,1,44.39353,26.15726,2.246638366,0.199620881
